Age [ka],d18O GRIP,T GRIP,d18O GoM,Pa/Th
54.5,-40.94,-47.6788929999999,,
54.55,-40.849999999999994,-47.33264049999994,,
54.6,-40.41,-45.69914049999997,,
54.65,-40.06,-44.411892999999964,,
54.7,-41.1,-48.30492499999997,,
54.75,-40.66,-46.64432099999999,,
54.8,-38.915,-40.935248125,,
54.85,-37.285,-36.082493624999984,,
54.9,-38.254999999999995,-38.96659462500001,,
54.95,-40.23,-45.108795249999986,,
55.0,-41.235,-48.86113862499997,,
55.05,-41.56,-50.15966800000001,,
55.1,-40.48,-45.93395199999998,,
55.15,-40.614999999999995,-46.44111662499998,,
55.2,-40.75,-46.94828124999998,,
55.25,-40.43,-45.74919324999996,,
55.3,-39.595,-42.94019062499997,,
55.35,-38.065,-38.20254562499997,,
55.4,-37.525,-36.67180762499996,,
55.45,-37.79,-37.36331849999996,,
55.5,-38.144999999999996,-38.34435212499997,,
55.55,-38.115,-38.26335362500001,,
55.6,-37.333333333333336,-36.21371950000003,,
55.65,-37.49333333333333,-36.65864750000002,,
55.7,-39.67,-43.410194499999974,,
55.75,-41.02,-47.99067699999995,,
55.8,-40.37,-45.528753249999966,,
55.85,-40.82,-47.25481825,,
55.9,-41.115,-48.368745624999974,,
55.95,-40.96,-47.756607999999915,,
56.0,-39.68,-43.09331199999997,,
56.05,-39.965,-44.09267162500001,,
56.1,-40.25,-45.09203125000005,,
56.15,-40.57,-46.26894325000001,,
56.2,-41.19,-48.73539625000001,,
56.25,-40.835,-47.45641112500002,,
56.3,-39.86,-43.710973000000024,,
56.35,-39.98,-44.12967699999996,,
56.4,-39.39,-42.19143849999996,,
56.45,-39.01,-40.91235849999998,,
56.5,-38.86,-40.462320999999974,,
56.55,-38.32,-38.83594899999997,,
56.6,-38.32,-38.83594899999997,,
56.65,-38.445,-39.19245212499996,,
56.7,-38.394999999999996,-39.046289624999986,,
56.75,-38.825,-40.36454062499999,,
56.8,-39.019999999999996,-40.94546025,,
56.85,-38.735,-40.05582562499998,,
56.9,-38.515,-39.40254662499996,,
56.95,-38.254999999999995,-38.64550462499997,,
57.0,-38.16,-38.37492799999998,,
57.05,-38.379999999999995,-39.01211399999997,,
57.1,-38.31,-38.817188499999986,,
57.15,-38.22,-38.552017000000006,,
57.2,-38.605000000000004,-39.670798125000005,,
57.25,-38.519999999999996,-39.42608525,,
57.3,-38.21,-38.51629725000001,,
57.35,-38.5,-39.36360983333332,,
57.4,-38.675,-39.87400112499998,,
57.45,-38.525,-39.43204862499999,,
57.5,-38.025,-38.020473624999966,,
57.55,-37.605000000000004,-36.87517562499997,,
57.6,-37.66,-37.02102599999995,,
57.65,-37.435,-36.46334662499993,,
57.7,-37.333333333333336,-36.234329833333284,,
57.75,-37.416666666666664,-36.43766941666664,,
57.8,-37.465,-36.517895624999994,,
57.85,-37.693333333333335,-37.16922349999998,,
57.9,-37.47666666666667,-36.63303308333331,,
57.95,-38.16,-38.65212799999996,,
58.0,-39.315,-41.87951562499997,,
58.05,-39.27,-41.73298324999999,,
58.1,-37.7,-37.22773799999999,,
58.15,-37.56666666666667,-36.8516003333333,,
58.2,-38.685,-40.27333412499995,,
58.25,-40.215,-44.969745624999945,,
58.3,-40.305,-45.29208962499999,,
58.35,-40.375,-45.55007812500003,,
58.4,-40.5,-46.00812500000001,,
58.45,-38.87,-40.46820324999996,,
58.5,-38.65,-39.80814824999999,,
58.55,-37.58,-36.948038249999996,,
58.6,-37.45,-36.57552325,,
58.65,-37.79666666666667,-37.42429058333334,,
58.7,-38.17333333333333,-38.566711166666636,,
58.75,-38.23,-38.793076499999955,,
58.8,-37.385,-36.321303624999985,,
58.85,-36.91,-35.25553424999997,,
58.9,-36.535,-34.33473112499995,,
58.95,-36.78666666666667,-34.911946499999964,,
59.0,-37.79666666666667,-37.83526524999997,,
59.05,-39.875,-43.763051125000004,,
59.1,-39.86,-43.710973000000024,,
59.15,-40.76,-46.98638799999998,,
59.2,-39.754999999999995,-43.54358462499998,,
59.25,-37.425,-36.750353124999975,,
59.3,-36.85666666666666,-35.227409083333306,,
59.35,-38.07666666666666,-38.5495300833333,,
59.4,-40.275,-45.233613624999975,,
59.45,-40.79,-47.10093925000001,,
59.5,-40.25,-45.09203125000005,,
59.55,-40.614999999999995,-46.46325412499999,,
59.6,-40.98,-47.834476999999936,,
59.65,-40.45,-45.82298125,,
59.7,-41.175,-48.70295312500002,,
59.75,-41.9,-51.582925000000046,,
59.8,-41.05,-48.10823124999996,,
59.85,-40.935,-47.66203412499999,,
59.9,-40.82,-47.21583700000002,,
59.95,-41.54,-50.07733300000001,,
