Age [ka],r (GoM/GRIP d18O),r (GoM/GRIP T),r (GoM/PaTh),r (GoM/Badgeley),p (GoM/GRIP d18O),p (GoM/GRIP T),p (GoM/PaTh),p (GoM/Badgeley),npoints (GoM/GRIP d18O),npoints (GoM/GRIP T),npoints (GoM/PaTh),npoints (GoM/Badgeley)
10.3,0.6383825722789448,0.6507322181680169,-0.12094057603730712,0.6678662870417086,0.010430894131334627,0.008611173927554366,0.7566052165143573,0.006508954741448087,15.0,15.0,9.0,15.0
10.4,0.6890394109261315,0.6976302982027899,0.03933016369572766,0.717927954201409,0.004493833005233334,0.0038338185625776526,0.9263319556884271,0.002577446284051107,15.0,15.0,8.0,15.0
10.5,0.778516000729819,0.7872031905597205,-0.22403244709397221,0.7953278728314612,0.0006282806696801273,0.0004954865000507629,0.5622652292769271,0.0003929174199186226,15.0,15.0,9.0,15.0
10.6,0.7576682928963252,0.7587374258510273,-0.10708024566051481,0.7809503522158706,0.0010674708550459536,0.0010401517429816918,0.8007540116471921,0.000588455072849635,15.0,15.0,8.0,15.0
10.7,0.5835010739791716,0.5646316454226145,-0.27635080103247256,0.5604919246635268,0.02240268106540916,0.02831415753156935,0.5076188907650092,0.029755282055731806,15.0,15.0,8.0,15.0
10.8,0.4824028879992906,0.4600238994288009,-0.5623178657635488,0.4798896005125705,0.06857843655548428,0.08445908064604085,0.18884909364970634,0.07024510438829404,15.0,15.0,7.0,15.0
10.9,0.1082013231484785,0.08035871243438902,-0.31203429677726796,0.15301763616073646,0.7010994985304875,0.7758834214662514,0.45180309016456377,0.5861353376642753,15.0,15.0,8.0,15.0
11.0,-0.302592420065949,-0.3029300151175023,-0.40517802496036076,-0.19507694748698542,0.2546413223862713,0.25408525222532236,0.24540819423406265,0.46905812220548326,16.0,16.0,10.0,16.0
11.1,-0.26727122262337955,-0.2692985166892141,-0.6024202266622688,-0.201734768194463,0.2836355570074254,0.2798594247357226,0.04983092004688937,0.4221207543816531,18.0,18.0,11.0,18.0
11.2,0.15256910728101816,0.17870133376785768,-0.7401835959277631,0.11081868929210675,0.5329214411110631,0.46417868854547784,0.009194623910097037,0.651521560372895,19.0,19.0,11.0,19.0
11.3,-0.5490198344994132,-0.5541541900488329,0.10223582531279077,-0.5712144459542653,0.014912636091937421,0.013816856990309111,0.7518775004639238,0.010630132173594195,19.0,19.0,12.0,19.0
11.4,-0.7107065927122729,-0.7176250078694064,0.3707051003169203,-0.7261920161575097,0.0006482721017785405,0.0005417663772611354,0.21241758774654204,0.0004306851466614975,19.0,19.0,13.0,19.0
11.5,-0.7464090844429084,-0.7516357545351916,0.4916618894750001,-0.7593061635413004,0.00024211131748217243,0.0002068338349191146,0.07416158495376445,0.00016301748324581408,19.0,19.0,14.0,19.0
11.6,-0.8183773655926723,-0.8224729725922522,0.5443977349159396,-0.8427429285872479,1.8490777811960033e-05,1.5459709106935167e-05,0.029236525089731062,5.934133988615844e-06,19.0,19.0,16.0,19.0
11.7,-0.8484339854472795,-0.8511479924161464,0.4743000600076113,-0.8589306927590258,4.4273234228739716e-06,3.8340318408526474e-06,0.06342784410037126,2.497336882559491e-06,19.0,19.0,16.0,19.0
11.8,-0.8624657015585565,-0.8608596397858308,0.48615549397591584,-0.879161478102791,2.038255171277271e-06,2.2368398534157767e-06,0.056215079594536255,7.197907781405812e-07,19.0,19.0,16.0,19.0
11.9,-0.8522928132109839,-0.8529138360653402,0.46351838569670517,-0.8432379073585401,3.605214839793784e-06,3.4861104070474903e-06,0.09505220181177759,5.787496691250643e-06,19.0,19.0,14.0,19.0
