depth	min	max	median	mean
330	10911	11592	11327	11302
331	10953	11612	11368	11340
332	10989	11643	11407	11378
333	11011	11680	11446	11416
334	11028	11723	11483	11453
335	11037	11776	11518	11491
336	11090	11794	11550	11522
337	11124	11814	11583	11552
338	11157	11839	11613	11583
339	11178	11871	11643	11613
340	11214	11912	11671	11644
341	11255	11931	11701	11672
342	11283	11953	11732	11700
343	11304	11981	11761	11728
344	11329	12024	11786	11757
345	11360	12070	11812	11785
346	11410	12089	11848	11819
347	11460	12117	11880	11853
348	11491	12149	11913	11887
349	11522	12192	11944	11921
350	11539	12250	11975	11955
351	11565	12264	12002	11980
352	11598	12280	12029	12006
353	11618	12297	12055	12032
354	11640	12321	12083	12058
355	11671	12354	12107	12084
356	11691	12365	12129	12106
357	11715	12380	12154	12128
358	11742	12398	12179	12150
359	11766	12421	12200	12172
360	11790	12458	12219	12194
361	11819	12468	12242	12214
362	11836	12481	12265	12235
363	11845	12499	12287	12255
364	11851	12518	12307	12275
365	11862	12545	12328	12296
366	11891	12554	12348	12315
367	11932	12567	12366	12335
368	11959	12589	12386	12354
369	11980	12614	12405	12374
370	11995	12645	12422	12393
371	12024	12656	12446	12414
372	12054	12672	12468	12434
373	12082	12691	12488	12455
374	12099	12713	12510	12476
375	12109	12744	12529	12496
376	12137	12756	12552	12518
377	12155	12775	12575	12539
378	12174	12796	12597	12560
379	12187	12821	12619	12582
380	12198	12857	12637	12603
381	12247	12869	12664	12630
382	12285	12888	12693	12657
383	12316	12910	12716	12683
384	12349	12938	12740	12710
385	12365	12978	12766	12737
386	12411	12997	12802	12770
387	12437	13022	12838	12804
388	12460	13053	12873	12837
389	12478	13094	12906	12870
390	12496	13145	12936	12904
391	12538	13170	12972	12938
392	12564	13200	13007	12972
393	12585	13240	13039	13007
394	12616	13291	13071	13041
395	12642	13344	13101	13075
396	12713	13366	13139	13112
397	12762	13396	13176	13148
398	12816	13426	13214	13185
399	12850	13480	13249	13221
400	12874	13542	13283	13258
401	12911	13563	13316	13288
402	12939	13590	13345	13318
403	12953	13620	13375	13348
404	12975	13650	13402	13378
405	12996	13698	13429	13408
406	13039	13720	13473	13448
407	13070	13750	13516	13488
408	13108	13799	13558	13528
409	13131	13863	13596	13568
410	13152	13940	13630	13608
411	13210	13963	13674	13649
412	13265	13990	13716	13690
413	13311	14024	13755	13731
414	13355	14074	13793	13771
415	13396	14131	13829	13812
416	13434	14151	13867	13846
417	13463	14168	13905	13880
418	13488	14198	13944	13915
419	13515	14235	13976	13949
420	13533	14289	14009	13983
421	13578	14311	14040	14012
422	13629	14331	14068	14041
423	13672	14359	14098	14070
424	13708	14398	14125	14099
425	13728	14443	14151	14128
426	13769	14456	14182	14158
427	13808	14473	14211	14188
428	13835	14496	14242	14218
429	13860	14528	14270	14248
430	13882	14570	14299	14278
431	13922	14587	14334	14310
432	13954	14604	14368	14342
433	13973	14630	14401	14373
434	14005	14660	14434	14405
435	14038	14698	14463	14437
436	14061	14711	14485	14457
437	14086	14725	14505	14477
437.00002	14086	14725	14505	14477
438	14086	14725	14505	14477
439	14086	14725	14505	14477
440	14086	14725	14505	14477
441	14086	14725	14505	14477
442	14086	14725	14505	14477
443	14086	14725	14505	14477
444	14086	14725	14505	14477
445	14086	14725	14505	14477
446	14086	14725	14505	14477
447	14086	14725	14505	14477
448	14086	14725	14505	14477
449	14086	14725	14505	14477
450	14086	14725	14505	14477
451	14086	14725	14505	14477
452	14086	14725	14505	14477
453	14086	14725	14505	14477
454	14086	14725	14505	14477
455	14086	14725	14505	14477
456	14086	14725	14505	14477
456.00002	14086	14725	14505	14477
457	14105	14749	14524	14497
458	14124	14772	14543	14517
459	14141	14804	14563	14537
460	14159	14813	14581	14554
461	14177	14826	14597	14572
462	14187	14840	14616	14589
463	14204	14859	14633	14607
464	14214	14884	14650	14624
465	14230	14894	14665	14639
466	14249	14904	14679	14653
467	14266	14918	14695	14668
468	14276	14934	14709	14682
469	14286	14953	14725	14697
470	14301	14960	14737	14709
471	14320	14969	14748	14721
472	14340	14980	14760	14733
473	14352	14995	14772	14745
474	14358	15009	14784	14757
475	14377	15021	14802	14774
476	14404	15034	14819	14790
477	14423	15053	14835	14807
478	14450	15073	14851	14823
479	14457	15099	14867	14840
480	14478	15111	14886	14858
481	14496	15125	14905	14877
482	14507	15143	14923	14895
483	14518	15167	14942	14914
484	14534	15192	14959	14932
485	14544	15208	14977	14950
486	14562	15223	14995	14968
487	14581	15242	15012	14986
488	14595	15263	15029	15004
489	14611	15289	15048	15022
490	14634	15301	15063	15038
491	14652	15319	15079	15054
492	14672	15336	15098	15070
493	14688	15355	15114	15086
494	14703	15376	15128	15101
495	14727	15394	15149	15123
496	14743	15414	15171	15144
497	14765	15431	15190	15165
498	14787	15460	15210	15186
499	14806	15490	15230	15207
500	14827	15507	15254	15229
501	14841	15524	15276	15251
502	14860	15548	15296	15272
503	14874	15574	15319	15294
504	14889	15608	15340	15316
505	14909	15620	15366	15341
506	14932	15643	15393	15366
507	14948	15667	15417	15391
508	14972	15697	15442	15416
509	14991	15736	15465	15441
510	15039	15753	15493	15467
511	15078	15772	15520	15494
512	15102	15798	15546	15520
513	15125	15829	15571	15546
514	15150	15861	15594	15572
515	15182	15877	15623	15597
516	15219	15900	15648	15622
517	15240	15923	15673	15647
518	15258	15953	15697	15673
519	15285	15986	15724	15698
520	15312	15998	15748	15721
521	15340	16013	15771	15744
522	15368	16034	15795	15767
523	15397	16056	15818	15790
524	15411	16083	15841	15813
525	15446	16097	15863	15835
526	15470	16112	15885	15856
527	15493	16133	15907	15877
528	15511	16156	15929	15898
529	15528	16178	15948	15920
