depth	min	max	median	mean
319	10141	11004	10747	10703
320	10172	11047	10774	10732
321	10203	11063	10805	10762
322	10226	11084	10837	10791
323	10255	11111	10868	10820
324	10286	11142	10897	10850
325	10310	11181	10927	10879
326	10354	11200	10958	10909
327	10383	11221	10992	10939
328	10419	11250	11023	10970
329	10447	11283	11052	11000
330	10477	11323	11080	11030
331	10507	11349	11118	11067
332	10549	11382	11153	11103
333	10584	11424	11187	11139
334	10627	11478	11218	11175
335	10660	11539	11249	11212
336	10701	11554	11283	11242
337	10733	11571	11318	11272
338	10760	11591	11349	11302
339	10784	11619	11379	11332
340	10808	11658	11405	11362
341	10835	11676	11438	11393
342	10861	11701	11473	11424
343	10894	11733	11506	11455
344	10916	11769	11537	11486
345	10937	11817	11565	11517
346	10980	11834	11598	11549
347	11019	11855	11630	11581
348	11051	11888	11661	11613
349	11080	11927	11691	11645
350	11107	11977	11720	11677
351	11144	11996	11748	11705
352	11177	12019	11777	11733
353	11204	12047	11807	11762
354	11237	12079	11834	11790
355	11263	12120	11861	11818
356	11295	12136	11891	11845
357	11326	12155	11919	11871
358	11352	12181	11946	11897
359	11377	12215	11972	11923
360	11397	12254	11996	11949
361	11427	12269	12019	11971
362	11460	12285	12041	11993
363	11479	12305	12063	12015
364	11498	12324	12085	12037
365	11520	12354	12105	12059
366	11543	12367	12131	12083
367	11563	12386	12155	12107
368	11591	12409	12180	12131
369	11611	12438	12204	12155
370	11633	12474	12225	12179
371	11654	12488	12250	12202
372	11671	12503	12272	12225
373	11687	12521	12297	12248
374	11706	12546	12321	12271
375	11725	12574	12341	12294
376	11763	12590	12369	12320
377	11786	12609	12397	12346
378	11826	12630	12426	12371
379	11854	12661	12452	12397
380	11882	12703	12473	12423
381	11898	12720	12498	12446
382	11916	12740	12522	12469
383	11938	12764	12544	12492
384	11955	12797	12566	12515
385	11967	12828	12587	12538
386	12008	12848	12628	12573
387	12044	12869	12667	12609
388	12086	12901	12703	12645
389	12112	12943	12737	12681
390	12150	12999	12769	12716
391	12182	13019	12806	12750
392	12223	13046	12843	12784
393	12258	13080	12877	12819
394	12291	13123	12907	12853
395	12322	13176	12937	12887
396	12364	13194	12974	12922
397	12405	13222	13012	12956
398	12442	13251	13047	12991
399	12483	13297	13079	13026
400	12513	13349	13107	13061
401	12538	13368	13135	13088
402	12569	13391	13162	13115
403	12598	13415	13190	13142
404	12623	13450	13216	13169
405	12649	13489	13241	13196
406	12688	13513	13279	13231
407	12719	13541	13317	13266
408	12753	13582	13352	13301
409	12787	13643	13384	13337
410	12812	13708	13415	13372
411	12846	13727	13453	13409
412	12888	13749	13494	13446
413	12923	13778	13532	13483
414	12960	13821	13567	13521
415	12996	13873	13603	13558
416	13034	13892	13639	13591
417	13070	13915	13673	13624
418	13107	13939	13711	13658
419	13134	13974	13744	13691
420	13164	14018	13773	13724
421	13193	14033	13797	13746
422	13223	14052	13820	13768
423	13247	14073	13841	13790
424	13268	14099	13862	13812
425	13291	14133	13882	13834
426	13319	14157	13912	13863
427	13346	14179	13941	13892
428	13378	14206	13969	13920
429	13408	14239	13995	13949
430	13438	14281	14021	13978
431	13471	14298	14053	14008
432	13502	14316	14087	14038
433	13530	14338	14120	14069
434	13560	14370	14150	14099
435	13589	14408	14178	14129
436	13611	14425	14199	14149
437	13634	14442	14220	14169
437.00002	13634	14442	14220	14169
438	13634	14442	14220	14169
439	13634	14442	14220	14169
440	13634	14442	14220	14169
441	13634	14442	14220	14169
442	13634	14442	14220	14169
443	13634	14442	14220	14169
444	13634	14442	14220	14169
445	13634	14442	14220	14169
446	13634	14442	14220	14169
447	13634	14442	14220	14169
448	13634	14442	14220	14169
449	13634	14442	14220	14169
450	13634	14442	14220	14169
451	13634	14442	14220	14169
452	13634	14442	14220	14169
453	13634	14442	14220	14169
454	13634	14442	14220	14169
455	13634	14442	14220	14169
456	13634	14442	14220	14169
456.00002	13634	14442	14220	14169
457	13657	14463	14239	14188
458	13673	14488	14258	14208
459	13690	14516	14275	14228
460	13711	14528	14297	14248
461	13733	14545	14317	14268
462	13749	14567	14337	14288
463	13772	14595	14356	14308
464	13792	14623	14373	14329
465	13809	14635	14391	14345
466	13825	14650	14407	14362
467	13838	14663	14424	14379
468	13854	14683	14440	14395
469	13863	14704	14457	14412
470	13883	14711	14472	14427
471	13899	14722	14487	14443
472	13915	14733	14504	14458
473	13930	14749	14519	14473
474	13943	14767	14533	14489
475	13966	14779	14553	14507
476	13985	14799	14574	14526
477	14001	14817	14592	14544
478	14018	14839	14610	14563
479	14036	14866	14628	14581
480	14055	14877	14648	14601
481	14076	14893	14669	14621
482	14094	14913	14689	14641
483	14115	14934	14710	14661
484	14139	14961	14730	14681
485	14155	14974	14748	14698
486	14176	14990	14766	14715
487	14193	15007	14783	14733
488	14211	15028	14800	14750
489	14231	15051	14816	14768
490	14243	15063	14835	14784
491	14254	15077	14851	14801
492	14268	15094	14867	14818
493	14281	15114	14884	14834
494	14296	15136	14899	14851
495	14318	15154	14922	14872
496	14337	15174	14943	14893
497	14355	15199	14964	14914
498	14372	15226	14982	14936
499	14392	15258	15001	14957
500	14418	15275	15023	14979
501	14437	15290	15046	15001
502	14463	15313	15070	15023
503	14488	15339	15093	15045
504	14513	15372	15112	15066
505	14540	15390	15138	15092
506	14565	15417	15164	15118
507	14588	15445	15189	15144
508	14607	15481	15212	15170
509	14632	15521	15234	15196
510	14663	15535	15263	15222
511	14691	15557	15292	15249
512	14721	15579	15319	15276
513	14749	15607	15345	15302
514	14771	15641	15371	15329
515	14797	15659	15400	15354
516	14826	15680	15425	15379
517	14853	15701	15450	15404
518	14874	15731	15474	15429
519	14898	15767	15498	15454
520	14922	15781	15524	15478
521	14951	15797	15551	15503
522	14970	15820	15577	15527
523	14994	15844	15599	15551
524	15018	15875	15623	15575
525	15040	15891	15643	15595
526	15065	15909	15662	15615
527	15087	15928	15680	15635
528	15108	15948	15700	15655
529	15125	15976	15719	15675
530	15145	15986	15740	15695
531	15168	16003	15760	15714
532	15189	16025	15781	15734
533	15210	16045	15801	15753
534	15227	16070	15819	15773
535	15244	16086	15842	15795
536	15263	16104	15865	15818
537	15291	16128	15888	15840
538	15312	16156	15910	15862
539	15331	16189	15929	15884
540	15356	16203	15956	15907
541	15384	16219	15980	15931
542	15405	16235	16003	15954
543	15435	16259	16025	15977
544	15449	16292	16047	16000
545	15482	16304	16066	16019
546	15494	16320	16087	16038
547	15513	16338	16106	16058
548	15535	16364	16124	16077
549	15551	16396	16143	16096
550	15575	16405	16162	16114
551	15597	16418	16178	16132
552	15614	16434	16197	16150
553	15631	16453	16213	16168
554	15649	16477	16231	16185
555	15670	16491	16253	16206
556	15686	16508	16276	16226
557	15705	16529	16297	16247
558	15724	16554	16317	16267
559	15739	16582	16334	16288
560	15766	16592	16356	16308
561	15790	16606	16378	16328
562	15813	16624	16399	16349
563	15823	16646	16418	16369
564	15848	16672	16436	16389
565	15872	16688	16458	16410
566	15901	16710	16478	16432
567	15919	16735	16500	16453
568	15938	16763	16520	16474
569	15964	16795	16538	16495
570	15983	16810	16559	16515
571	15999	16827	16579	16535
572	16013	16847	16599	16554
573	16026	16874	16617	16574
574	16037	16900	16636	16594
575	16064	16918	16658	16616
576	16087	16946	16682	16639
577	16116	16979	16703	16662
578	16134	17016	16724	16685
579	16154	17058	16744	16708
580	16179	17073	16767	16730
581	16197	17092	16789	16753
582	16220	17116	16814	16776
583	16236	17148	16833	16798
584	16250	17191	16854	16821
585	16275	17206	16879	16844
586	16302	17225	16904	16868
587	16326	17247	16928	16891
588	16355	17274	16949	16915
589	16377	17310	16972	16938
590	16402	17322	16996	16962
591	16429	17338	17021	16985
592	16449	17363	17045	17009
593	16464	17385	17067	17033
594	16492	17412	17090	17056
595	16527	17433	17120	17084
596	16557	17454	17149	17112
597	16585	17483	17177	17139
598	16623	17519	17204	17167
599	16648	17556	17230	17195
600	16676	17573	17261	17223
601	16702	17593	17289	17252
602	16731	17619	17319	17280
603	16751	17654	17347	17309
604	16772	17691	17373	17338
605	16809	17710	17405	17367
606	16841	17732	17434	17397
607	16877	17763	17464	17427
608	16906	17803	17490	17457
609	16931	17851	17516	17487
610	16960	17869	17546	17515
611	16991	17889	17578	17543
612	17024	17911	17607	17571
613	17054	17944	17633	17599
614	17077	17979	17660	17627
615	17107	17998	17682	17651
616	17138	18023	17704	17674
617	17154	18054	17728	17698
618	17178	18093	17751	17722
619	17192	18130	17773	17745
620	17214	18150	17797	17768
621	17228	18171	17821	17791
622	17249	18196	17844	17814
623	17267	18231	17866	17837
624	17288	18267	17887	17860
625	17312	18286	17908	17882
626	17335	18305	17932	17905
627	17354	18332	17955	17927
628	17379	18358	17978	17950
629	17399	18388	17999	17972
630	17424	18405	18021	17994
631	17459	18426	18043	18017
632	17479	18443	18068	18039
633	17499	18464	18090	18061
634	17516	18495	18110	18084
635	17547	18508	18136	18107
636	17574	18530	18160	18131
637	17599	18549	18184	18154
638	17618	18573	18207	18178
639	17640	18598	18228	18201
640	17670	18613	18254	18224
641	17704	18632	18279	18248
642	17725	18654	18303	18271
643	17744	18680	18324	18294
644	17764	18706	18345	18317
645	17797	18719	18371	18340
646	17819	18730	18394	18362
647	17833	18742	18420	18385
648	17854	18761	18447	18408
649	17873	18787	18470	18431
650	17891	18797	18484	18446
651	17909	18812	18499	18461
652	17927	18825	18515	18476
653	17940	18843	18529	18491
654	17953	18861	18543	18506
655	17968	18874	18558	18520
656	17985	18888	18574	18534
657	17998	18899	18588	18548
658	18009	18917	18603	18562
659	18024	18936	18616	18576
660	18044	18945	18631	18590
661	18058	18958	18645	18604
662	18071	18973	18658	18619
663	18086	18988	18672	18633
664	18103	19004	18686	18647
665	18122	19015	18699	18661
666	18143	19028	18713	18675
667	18154	19043	18726	18688
668	18163	19057	18740	18702
669	18175	19075	18753	18716
670	18188	19085	18766	18730
671	18203	19095	18780	18743
672	18219	19112	18794	18757
673	18232	19126	18807	18770
674	18250	19144	18820	18784
675	18265	19162	18834	18798
676	18275	19177	18848	18812
677	18288	19192	18862	18826
678	18298	19205	18876	18840
679	18310	19219	18889	18854
680	18324	19233	18905	18869
681	18339	19251	18921	18885
682	18353	19271	18936	18900
683	18366	19296	18951	18915
684	18379	19318	18965	18931
685	18388	19331	18981	18947
686	18404	19345	18997	18964
687	18414	19362	19012	18980
688	18431	19380	19027	18997
689	18450	19407	19044	19013
690	18462	19420	19062	19030
691	18482	19440	19078	19047
692	18497	19460	19093	19064
693	18513	19489	19110	19081
694	18528	19513	19127	19097
695	18549	19534	19143	19114
696	18565	19550	19162	19131
697	18579	19573	19178	19148
698	18593	19595	19191	19165
699	18610	19617	19208	19182
700	18636	19642	19238	19209
701	18665	19669	19266	19237
702	18688	19695	19292	19265
703	18709	19727	19318	19292
704	18723	19766	19343	19320
705	18766	19792	19379	19352
706	18798	19822	19411	19385
707	18827	19857	19444	19418
708	18861	19896	19474	19451
709	18887	19936	19506	19483
710	18922	19957	19540	19516
711	18954	19980	19574	19549
712	18989	20010	19607	19582
713	19017	20046	19636	19614
714	19046	20090	19672	19647
715	19089	20107	19704	19681
716	19126	20122	19741	19715
717	19158	20154	19779	19748
718	19199	20183	19813	19782
719	19222	20223	19845	19816
720	19266	20244	19881	19850
721	19303	20266	19918	19884
722	19338	20293	19955	19918
723	19372	20320	19990	19952
724	19408	20357	20022	19987
725	19440	20382	20058	20019
726	19470	20416	20090	20052
727	19497	20463	20121	20085
728	19522	20511	20153	20118
729	19543	20579	20180	20151
730	19582	20608	20215	20183
731	19608	20637	20246	20216
732	19646	20666	20277	20249
733	19676	20714	20309	20281
734	19706	20760	20341	20314
735	19743	20781	20376	20347
736	19778	20807	20412	20380
737	19805	20839	20448	20414
738	19841	20883	20480	20447
739	19869	20932	20512	20481
740	19911	20950	20543	20513
741	19949	20976	20576	20545
742	19983	21006	20610	20578
743	20012	21040	20641	20610
744	20038	21077	20672	20643
745	20089	21098	20709	20676
746	20130	21115	20745	20709
747	20163	21137	20779	20741
748	20198	21167	20813	20774
749	20220	21208	20846	20807
750	20246	21221	20866	20828
751	20270	21238	20886	20848
752	20297	21258	20906	20868
753	20315	21279	20925	20888
754	20328	21308	20946	20908
755	20353	21319	20964	20926
756	20372	21334	20981	20944
757	20391	21349	20997	20962
758	20404	21366	21014	20980
759	20420	21388	21034	20997
760	20439	21398	21051	21015
761	20459	21408	21069	21032
762	20477	21426	21087	21049
763	20493	21444	21104	21067
764	20513	21462	21121	21084
765	20532	21472	21139	21102
766	20551	21487	21158	21119
767	20573	21504	21175	21136
768	20590	21522	21191	21153
769	20607	21543	21207	21171
770	20627	21554	21225	21188
771	20642	21568	21242	21206
772	20667	21583	21260	21223
773	20683	21598	21278	21240
774	20700	21614	21295	21258
775	20718	21626	21311	21275
776	20733	21642	21330	21292
777	20742	21658	21345	21309
778	20758	21676	21361	21325
779	20774	21698	21379	21342
780	20787	21709	21395	21359
781	20810	21721	21412	21375
782	20830	21735	21429	21392
783	20848	21756	21443	21408
784	20862	21778	21459	21425
785	20884	21787	21476	21442
786	20906	21800	21495	21459
787	20923	21816	21513	21476
788	20938	21834	21529	21493
789	20953	21855	21546	21511
790	20973	21870	21565	21528
791	20993	21885	21583	21545
792	21006	21901	21600	21562
793	21021	21920	21617	21579
794	21031	21944	21634	21596
795	21053	21954	21652	21613
796	21074	21966	21671	21631
797	21091	21977	21688	21648
798	21115	21993	21703	21665
799	21130	22016	21722	21682
800	21155	22025	21738	21699
801	21170	22037	21757	21717
802	21188	22054	21773	21734
803	21205	22069	21791	21751
804	21222	22084	21809	21769
805	21247	22099	21827	21788
806	21262	22118	21846	21807
807	21278	22139	21864	21825
808	21299	22165	21882	21844
809	21314	22195	21900	21863
810	21333	22209	21920	21883
811	21351	22222	21942	21902
812	21376	22240	21962	21921
813	21392	22262	21982	21940
814	21407	22286	22002	21960
815	21425	22299	22023	21979
816	21449	22312	22041	21998
817	21476	22329	22061	22017
818	21492	22349	22079	22036
819	21507	22371	22097	22055
820	21528	22382	22117	22075
821	21549	22395	22137	22094
822	21570	22411	22157	22114
823	21589	22433	22178	22133
824	21610	22455	22197	22153
825	21625	22469	22213	22168
826	21642	22484	22229	22184
827	21660	22502	22244	22199
828	21673	22519	22260	22215
829	21689	22542	22275	22230
830	21705	22552	22288	22245
831	21721	22565	22302	22259
832	21733	22581	22318	22273
833	21748	22599	22330	22287
834	21759	22619	22343	22302
835	21775	22632	22359	22316
836	21788	22642	22374	22330
837	21803	22654	22389	22345
838	21816	22669	22401	22359
839	21834	22686	22415	22373
840	21846	22699	22431	22388
841	21859	22711	22446	22403
842	21872	22725	22459	22418
843	21888	22744	22473	22433
844	21907	22762	22488	22447
845	21923	22773	22502	22462
846	21944	22787	22518	22476
847	21956	22798	22532	22490
848	21966	22813	22546	22505
849	21980	22827	22560	22519
850	21992	22839	22572	22532
851	22004	22851	22586	22546
852	22023	22861	22599	22559
853	22040	22874	22612	22572
854	22052	22893	22623	22586
855	22063	22904	22636	22598
856	22073	22915	22649	22610
857	22086	22932	22661	22622
858	22097	22948	22673	22634
859	22112	22967	22685	22646
860	22124	22975	22698	22659
861	22142	22985	22709	22671
862	22154	22996	22721	22683
863	22164	23010	22733	22695
864	22175	23026	22744	22707
865	22187	23034	22756	22719
866	22198	23047	22768	22731
867	22210	23060	22781	22743
868	22220	23076	22793	22755
869	22230	23091	22804	22767
870	22249	23101	22819	22781
871	22263	23115	22834	22795
872	22276	23130	22848	22809
873	22289	23147	22862	22824
874	22301	23166	22876	22838
875	22317	23180	22892	22854
876	22334	23194	22907	22869
877	22349	23211	22921	22885
878	22362	23232	22937	22901
879	22375	23256	22952	22917
880	22393	23269	22968	22933
881	22411	23285	22984	22949
882	22426	23302	22999	22965
883	22442	23318	23016	22982
884	22464	23343	23032	22998
885	22479	23353	23048	23014
886	22491	23365	23064	23029
887	22498	23385	23079	23045
